time,pv_output_kw,ess_output_kw,soc
1.0,0.0,200,0.09999999999999998
2.0,173.8274624092735,0.0,0.09999999999999998
3.0,302.1203152917427,0.0,0.09999999999999998
4.0,382.6834323650898,0.0,0.09999999999999998
5.0,456.69872981077805,-45.0,0.18999999999999997
6.0,565.4601588194988,-40.5,0.27099999999999996
7.0,707.1067811865474,-200,0.671
8.0,836.6546104804571,-164.49999999999997,1.0
9.0,909.3266739736606,0.0,1.0
10.0,923.8795325112867,0.0,1.0
11.0,922.6245560998465,0.0,1.0
12.0,948.1435911845883,0.0,1.0
13.0,1000.0,0.0,1.0
14.0,1034.7461315630323,0.0,1.0
15.0,1009.2270964782904,0.0,1.0
16.0,923.8795325112869,0.0,1.0
17.0,822.7241335952168,0.0,1.0
18.0,750.0520701020133,0.0,1.0
19.0,707.1067811865476,0.0,1.0
20.0,652.0626991979427,0.0,1.0
21.0,543.3012701892219,50,0.9
22.0,382.68343236508997,200,0.5
23.0,215.51777491329915,200,0.09999999999999998
24.0,87.22492203082999,0.0,0.09999999999999998
