time,pv_output_kw,ess_output_kw,soc
1.0,0.0,0.0,0.5
2.0,130.52619222005157,0.0,0.5
3.0,258.81904510252076,0.0,0.5
4.0,382.6834323650898,0.0,0.5
5.0,499.99999999999994,0.0,0.5
6.0,608.7614290087207,0.0,0.5
7.0,707.1067811865474,0.0,0.5
8.0,793.3533402912352,0.0,0.5
9.0,866.0254037844386,0.0,0.5
10.0,923.8795325112867,0.0,0.5
11.0,965.9258262890684,0.0,0.5
12.0,991.4448613738103,0.0,0.5
13.0,1000.0,0.0,0.5
14.0,991.4448613738103,0.0,0.5
15.0,965.9258262890684,0.0,0.5
16.0,923.8795325112868,0.0,0.5
17.0,866.0254037844387,0.0,0.5
18.0,793.3533402912352,0.0,0.5
19.0,707.1067811865476,-200,0.9
20.0,608.7614290087208,0.0,0.9
21.0,499.99999999999994,0.0,0.9
22.0,382.6834323650899,0.0,0.9
23.0,258.81904510252105,0.0,0.9
24.0,130.526192220052,0.0,0.9
